date,ID,Sampling start,Sampling end,Precipitation type,Rainfall [mm],dD,dD stdev,d18O,d18O stdev,d_excess,time,duration,gwt
1,2016-12-09,1,2016-12-09 12:00:00,2016-12-09 16:00:00,R,0.9,-40.18,0.25,-6.64,0.05,12.94,12,4,West
2,2016-12-10,2,2016-12-10 08:00:00,2016-12-10 12:00:00,R,0.1,-48.24,0.35,-7.95,0.06,15.36,8,4,West
3,2016-12-11,3,2016-12-11 04:00:00,2016-12-11 08:00:00,R,0.5,-27.92,0.4,-5.02,0.02,12.24,4,4,West
4,2016-12-13,4,2016-12-13 12:00:00,2016-12-13 16:00:00,R,0.3,-44.14,0.24,-6.91,0.05,11.14,12,4,High CE
5,2016-12-14,5,2016-12-14 20:00:00,2016-12-15,R,0.1,-39.33,0.32,-6.19,0.07,10.19,20,4,High CE
6,2016-12-17,6,2016-12-17 16:00:00,2016-12-17 20:00:00,R,0,-44.04,0.06,-7.1,0.04,12.76,16,4,High CE
7,2016-12-21,7,2016-12-21 12:00:00,2016-12-21 16:00:00,R,0,-51.34,0.09,-8.1,0.11,13.46,12,4,West
8,2016-12-22,9,2016-12-22 08:00:00,2016-12-22 12:00:00,R,1.9,-99.12,0.25,-13.42,0.04,8.23999999999999,8,4,West
9,2016-12-22,10,2016-12-22 12:00:00,2016-12-22 16:00:00,R,1.6,-109.47,0.26,-14.27,0.03,4.69,12,4,West
10,2016-12-22,8,2016-12-22,2016-12-22 04:00:00,R,0,-45.83,0.25,-7.14,0.09,11.29,0,4,West
11,2016-12-22,11,2016-12-22 16:00:00,2016-12-22 20:00:00,R,0.2,-95.54,0.07,-12.8,0.08,6.86,16,4,West
12,2016-12-22,12,2016-12-22 20:00:00,2016-12-25,R,1.4,-93.28,0.24,-12.51,0.04,6.8,20,52,West
13,2016-12-24,14,2016-12-24 04:00:00,2016-12-24 08:00:00,R,0.9,-50.92,0.21,-7.46,0.04,8.76,4,4,West
14,2016-12-24,13,2016-12-24,2016-12-24 04:00:00,R,0.2,-65.89,0.21,-9.25,0.08,8.11,0,4,West
15,2016-12-24,15,2016-12-24 08:00:00,2016-12-24 12:00:00,R,0.1,-41.68,0.21,-6.45,0.05,9.92,8,4,West
16,2016-12-25,17,2016-12-25 20:00:00,2016-12-26,R,0.1,-32.55,0.17,-5.46,0.03,11.13,20,4,West
17,2016-12-25,16,2016-12-25 08:00:00,2016-12-25 09:00:00,R,0,-79.35,0.29,-10.74,0.06,6.57000000000001,8,1,West
18,2016-12-26,18,2016-12-26,2016-12-26 04:00:00,R,0.1,-18.33,0.17,-3.67,0.05,11.03,0,4,West
19,2016-12-26,19,2016-12-26 04:00:00,2016-12-26 08:00:00,R,0.2,-18.55,0.26,-3.35,0.05,8.25,4,4,West
20,2016-12-29,21,2016-12-29 12:00:00,2016-12-29 16:00:00,R,0.1,-32.88,0.13,-6.53,0.07,19.36,12,4,High CE
21,2016-12-29,20,2016-12-29 08:00:00,2016-12-29 12:00:00,R,0.2,-36.7,0.06,-7.25,0.06,21.3,8,4,High CE
22,2016-12-31,22,2016-12-31 12:00:00,2017-01-01,R,0,-32.53,0.13,-0.4,0.05,-29.33,12,12,High CE
23,2017-01-02,23,2017-01-02 12:00:00,2017-01-03,R,0.5,-71.72,0.15,-10.7,0.06,13.88,12,12,North West
24,2017-01-04,24,2017-01-04,2017-01-04 12:00:00,R,0.9,-30.09,0.29,-6.11,0.05,18.79,0,12,North West
25,2017-01-04,25,2017-01-04 12:00:00,2017-01-05,R,1,-27.76,0.21,-5.43,0.06,15.68,12,12,North West
26,2017-01-05,27,2017-01-05 12:00:00,2017-01-06,R,0,-20.86,0.18,-4.83,0.05,17.78,12,12,High CE
27,2017-01-05,26,2017-01-05,2017-01-05 12:00:00,R,0.2,-19.74,0.26,-5.03,0.06,20.5,0,12,High CE
28,2017-01-09,29,2017-01-09 20:00:00,2017-01-10,R,0.5,-68.83,0.11,-10.07,0.02,11.73,20,4,High CE
29,2017-01-09,28,2017-01-09 16:00:00,2017-01-09 20:00:00,R,0,-37.79,0.12,-6.27,0.06,12.37,16,4,High CE
30,2017-01-10,30,2017-01-10,2017-01-10 04:00:00,R,1.8,-85.68,0.09,-11.9,0.07,9.52,0,4,North
31,2017-01-10,31,2017-01-10 20:00:00,2017-01-11,R,0,-43.88,0.13,-7.1,0.03,12.92,20,4,North
32,2017-01-11,34,2017-01-11 08:00:00,2017-01-11 12:00:00,R,0.2,-22.75,0.1,-4.22,0.05,11.01,8,4,North
33,2017-01-11,35,2017-01-11 12:00:00,2017-01-11 16:00:00,R,1.3,-19.65,0.22,-3.49,0.05,8.27,12,4,North
34,2017-01-11,32,2017-01-11,2017-01-11 04:00:00,R,0.2,-35.17,0.19,-6.72,0.05,18.59,0,4,North
35,2017-01-11,33,2017-01-11 04:00:00,2017-01-11 08:00:00,R,0.3,-32.14,0.13,-5.88,0.03,14.9,4,4,North
36,2017-01-27,36,2017-01-27 14:00:00,2017-01-29,R,0.8,-49.05,0.08,-6.98,0.06,6.79000000000001,14,34,South
37,2017-01-29,37,2017-01-29,2017-01-30,R,0.2,-46.32,0.08,-7.45,0.06,13.28,0,24,South West
38,2017-01-30,38,2017-01-30,2017-01-31,R,12,-86.44,0.06,-11.85,0.05,8.36,0,24,South West
39,2017-01-31,39,2017-01-31,2017-01-31 15:00:00,R,0.2,-36.55,0.22,-5.2,0.08,5.05,0,15,South West
40,2017-02-01,40,2017-02-01 04:00:00,2017-02-01 08:00:00,R,0.1,-53.69,0.19,-7.66,0.08,7.59,4,4,South
41,2017-02-01,42,2017-02-01 12:00:00,2017-02-01 16:00:00,R,0.1,-59.79,0.18,-8.63,0.05,9.25000000000001,12,4,South
42,2017-02-01,43,2017-02-01 20:00:00,2017-02-02,R,0.4,-43.45,0.08,-6.44,0.05,8.07,20,4,South
43,2017-02-01,41,2017-02-01 08:00:00,2017-02-01 12:00:00,R,0,-51.67,0.25,-7.41,0.04,7.61,8,4,South
44,2017-02-02,44,2017-02-02,2017-02-02 04:00:00,R,0,-41.06,0.1,-6.18,0.06,8.38,0,4,South
45,2017-02-02,45,2017-02-02 04:00:00,2017-02-02 08:00:00,R,0.1,-39.78,0.17,-6,0.09,8.22,4,4,South
46,2017-02-03,48,2017-02-03 08:00:00,2017-02-03 12:00:00,R,0.1,-48.8,0.24,-7.36,0.12,10.08,8,4,South
47,2017-02-03,49,2017-02-03 12:00:00,2017-02-03 16:00:00,R,0.1,-43.8,0.15,-6.45,0.05,7.8,12,4,South
48,2017-02-03,50,2017-02-03 20:00:00,2017-02-04,R,2.6,-78.7,0.17,-10.96,0.05,8.98,20,4,South
49,2017-02-03,46,2017-02-03,2017-02-03 04:00:00,R,0.4,-22.06,0.12,-3.53,0.06,6.18,0,4,South
50,2017-02-03,47,2017-02-03 04:00:00,2017-02-03 08:00:00,R,0.8,-36.7,0.25,-5.52,0.04,7.45999999999999,4,4,South
