date,timestamp,temp,rh,gph,gir,rain,time,gwt
1,2016-12-09,2016-12-09 13:00:00,3.7,100,1032.6,144.71,0,13,West
2,2016-12-09,2016-12-09 14:00:00,4.2,99,1032,145.84,0,14,West
3,2016-12-09,2016-12-09 15:00:00,3.6,95,1032.1,57.28,0,15,West
4,2016-12-09,2016-12-09 12:00:00,3.2,100,1033,135.37,0.9,12,West
5,2016-12-09,2016-12-09 16:00:00,2.8,95,1032.2,7.87,0,16,West
6,2016-12-09,2016-12-09 17:00:00,1.7,96,1032.1,0,0,17,West
7,2016-12-09,2016-12-09 18:00:00,1,98,1032,0,0,18,West
8,2016-12-09,2016-12-09 19:00:00,0.3,99,1031.8,0,0,19,West
9,2016-12-09,2016-12-09 20:00:00,-0.7,99,1031.7,0,0,20,West
10,2016-12-09,2016-12-09 21:00:00,-0.9,100,1031.2,0,0,21,West
11,2016-12-09,2016-12-09 22:00:00,-1.2,100,1031.1,0,0,22,West
12,2016-12-09,2016-12-09 23:00:00,-1.8,100,1030.8,0,0,23,West
13,2016-12-10,2016-12-10 15:00:00,7.4,75,1026.2,93.85,0,15,West
14,2016-12-10,2016-12-10 16:00:00,5.6,82,1026.6,11.67,0,16,West
15,2016-12-10,2016-12-10 17:00:00,4,88,1026.5,0.03,0,17,West
16,2016-12-10,2016-12-10 18:00:00,3,94,1026,0.66,0,18,West
17,2016-12-10,2016-12-10,-2.1,100,1030,0,0,0,West
18,2016-12-10,2016-12-10 01:00:00,-2.7,100,1030.1,0,0,1,West
19,2016-12-10,2016-12-10 02:00:00,-3.1,100,1029.7,0,0,2,West
20,2016-12-10,2016-12-10 03:00:00,-3.4,100,1029.8,0,0,3,West
21,2016-12-10,2016-12-10 04:00:00,-3.7,100,1028.9,0.3,0,4,West
22,2016-12-10,2016-12-10 05:00:00,-3.8,99,1028.7,0,0,5,West
23,2016-12-10,2016-12-10 06:00:00,-3.7,99,1028.3,0,0,6,West
24,2016-12-10,2016-12-10 07:00:00,-4.3,99,1028.5,0,0,7,West
25,2016-12-10,2016-12-10 08:00:00,-4.6,99,1028.8,9.99,0,8,West
26,2016-12-10,2016-12-10 09:00:00,-4,99,1029.1,136.95,0,9,West
27,2016-12-10,2016-12-10 10:00:00,-1.5,100,1029.1,242.65,0,10,West
28,2016-12-10,2016-12-10 11:00:00,0.2,99,1028.3,276.26,0,11,West
29,2016-12-10,2016-12-10 12:00:00,1.9,99,1027.6,294.78,0.1,12,West
30,2016-12-10,2016-12-10 13:00:00,4.8,91,1026.9,251.72,0,13,West
31,2016-12-10,2016-12-10 14:00:00,7.7,77,1026.5,178.53,0,14,West
32,2016-12-10,2016-12-10 22:00:00,5.3,93,1024.3,0,0,22,West
33,2016-12-10,2016-12-10 19:00:00,3.4,95,1025.4,0,0,19,West
34,2016-12-10,2016-12-10 20:00:00,4.1,95,1025.1,0,0,20,West
35,2016-12-10,2016-12-10 21:00:00,4.5,95,1024.9,0,0,21,West
36,2016-12-10,2016-12-10 23:00:00,5.8,93,1024,0,0,23,West
37,2016-12-11,2016-12-11 03:00:00,5.8,92,1021.8,0,0,3,West
38,2016-12-11,2016-12-11 05:00:00,6.1,94,1021.4,0,0.1,5,West
39,2016-12-11,2016-12-11 06:00:00,6.4,95,1021.8,0,0.3,6,West
40,2016-12-11,2016-12-11 07:00:00,6.5,96,1022.7,0,0.1,7,West
41,2016-12-11,2016-12-11 04:00:00,6.1,91,1021.3,0,0,4,West
42,2016-12-11,2016-12-11,5.8,93,1023.3,0,0,0,West
43,2016-12-11,2016-12-11 01:00:00,5.8,92,1022.7,0,0,1,West
44,2016-12-11,2016-12-11 02:00:00,5.8,92,1022.4,0,0,2,West
45,2016-12-11,2016-12-11 16:00:00,6.7,82,1025,6.03,0,16,West
46,2016-12-11,2016-12-11 17:00:00,6.3,86,1025.4,0,0,17,West
47,2016-12-11,2016-12-11 18:00:00,5.7,87,1025.3,0,0,18,West
48,2016-12-11,2016-12-11 19:00:00,5.5,89,1025.5,0,0,19,West
49,2016-12-11,2016-12-11 20:00:00,5.4,92,1025.6,0,0,20,West
