date,index,start,end,type,P,dD,dD_dev,dO,dO_dev,d_excess,min_temp,max_temp,temp,precip,duration,gwt,gwt2
1,2016-12-09,1,2016-12-09 12:00:00,2016-12-09 16:00:00,R,0.9,-40.18,0.25,-6.64,0.05,12.94,2.8,4.2,3.6,0.9,5,W,Zonal
2,2016-12-10,2,2016-12-10 08:00:00,2016-12-10 12:00:00,R,0.1,-48.24,0.35,-7.95,0.06,15.36,-4.6,1.9,-1.5,0.1,5,W,Zonal
3,2016-12-11,3,2016-12-11 04:00:00,2016-12-11 08:00:00,R,0.5,-27.92,0.4,-5.02,0.02,12.24,6.1,6.5,6.4,0.5,5,W,Zonal
4,2016-12-13,4,2016-12-13 12:00:00,2016-12-13 16:00:00,R,0.3,-44.14,0.24,-6.91,0.05,11.14,3.5,4,3.9,0.3,5,HCE,Mixed
5,2016-12-14,5,2016-12-14 20:00:00,2016-12-15,R,0.1,-39.33,0.32,-6.19,0.07,10.19,2.1,2.9,2.8,0.1,5,HCE,Mixed
6,2016-12-17,6,2016-12-17 16:00:00,2016-12-17 20:00:00,R,0,-44.04,0.06,-7.1,0.04,12.76,1.2,3.2,3,0,5,HCE,Mixed
7,2016-12-21,7,2016-12-21 12:00:00,2016-12-21 16:00:00,R,0,-51.34,0.09,-8.1,0.11,13.46,2.4,3.8,3.7,0,5,W,Zonal
8,2016-12-22,8,2016-12-22,2016-12-22 04:00:00,R,0,-45.83,0.25,-7.14,0.09,11.29,2,2.9,2.3,0,5,W,Zonal
9,2016-12-22,9,2016-12-22 08:00:00,2016-12-22 12:00:00,R,1.9,-99.12,0.25,-13.42,0.04,8.23999999999999,1,2.3,1.4,1.9,5,W,Zonal
10,2016-12-22,10,2016-12-22 12:00:00,2016-12-22 16:00:00,R,1.6,-109.47,0.26,-14.27,0.03,4.69,2.2,2.4,2.3,2.3,5,W,Zonal
11,2016-12-22,11,2016-12-22 16:00:00,2016-12-22 20:00:00,R,0.2,-95.54,0.07,-12.8,0.08,6.86,2.4,2.9,2.7,0.3,5,W,Zonal
12,2016-12-22,12,2016-12-22 20:00:00,2016-12-25,R,1.4,-93.28,0.24,-12.51,0.04,6.8,2.3,4.8,3.3,0.2,29,W,Zonal
13,2016-12-24,13,2016-12-24,2016-12-24 04:00:00,R,0.2,-65.89,0.21,-9.25,0.08,8.11,4.6,4.8,4.7,0.2,5,W,Zonal
14,2016-12-24,14,2016-12-24 04:00:00,2016-12-24 08:00:00,R,0.9,-50.92,0.21,-7.46,0.04,8.76,4.6,5.8,5.1,1.1,5,W,Zonal
15,2016-12-24,15,2016-12-24 08:00:00,2016-12-24 12:00:00,R,0.1,-41.68,0.21,-6.45,0.05,9.92,5.8,7.2,6.5,0.2,5,W,Zonal
16,2016-12-25,16,2016-12-25 08:00:00,2016-12-25 09:00:00,R,0,-79.35,0.29,-10.74,0.06,6.57000000000001,6.1,6.1,6.1,0,2,W,Zonal
17,2016-12-25,17,2016-12-25 20:00:00,2016-12-26,R,0.1,-32.55,0.17,-5.46,0.03,11.13,6.9,7.2,7.1,0.1,5,W,Zonal
18,2016-12-26,18,2016-12-26,2016-12-26 04:00:00,R,0.1,-18.33,0.17,-3.67,0.05,11.03,7.2,7.3,7.3,0.1,5,W,Zonal
19,2016-12-26,19,2016-12-26 04:00:00,2016-12-26 08:00:00,R,0.2,-18.55,0.26,-3.35,0.05,8.25,7.3,7.6,7.5,0.3,5,W,Zonal
20,2016-12-29,20,2016-12-29 08:00:00,2016-12-29 12:00:00,R,0.2,-36.7,0.06,-7.25,0.06,21.3,-7.2,3.2,-1.8,0.2,5,HCE,Mixed
21,2016-12-29,21,2016-12-29 12:00:00,2016-12-29 16:00:00,R,0.1,-32.88,0.13,-6.53,0.07,19.36,2.3,4.4,4.1,0.3,5,HCE,Mixed
22,2016-12-31,22,2016-12-31 12:00:00,2017-01-01,R,0,-32.53,0.13,-0.4,0.05,-29.33,-4.7,-3.88,-4.1,0,13,HCE,Mixed
23,2017-01-02,23,2017-01-02 12:00:00,2017-01-03,R,0.5,-71.72,0.15,-10.7,0.06,13.88,-1.55,0.25,-0.9,0.5,13,NW,Mixed
24,2017-01-04,24,2017-01-04,2017-01-04 12:00:00,R,0.9,-30.09,0.29,-6.11,0.05,18.79,-1.13,1.2,0.25,0.9,13,NW,Mixed
25,2017-01-04,25,2017-01-04 12:00:00,2017-01-05,R,1,-27.76,0.21,-5.43,0.06,15.68,-0.08,2.8,1.1,1.8,13,NW,Mixed
26,2017-01-05,26,2017-01-05,2017-01-05 12:00:00,R,0.2,-19.74,0.26,-5.03,0.06,20.5,-1.53,1.63,-0.15,0.3,13,HCE,Mixed
27,2017-01-05,27,2017-01-05 12:00:00,2017-01-06,R,0,-20.86,0.18,-4.83,0.05,17.78,-7.93,1.63,-3.3,0,13,HCE,Mixed
28,2017-01-09,28,2017-01-09 16:00:00,2017-01-09 20:00:00,R,0,-37.79,0.12,-6.27,0.06,12.37,1.48,2.13,1.95,0,5,HCE,Mixed
29,2017-01-10,29,2017-01-09 20:00:00,2017-01-10,R,0.5,-68.83,0.11,-10.07,0.02,11.73,0.8,1.48,1.08,0.5,5,N,Meridional
30,2017-01-10,30,2017-01-10,2017-01-10 04:00:00,R,1.8,-85.68,0.09,-11.9,0.07,9.52,0.8,0.9,0.83,2.3,5,N,Meridional
31,2017-01-10,31,2017-01-10 20:00:00,2017-01-11,R,0,-43.88,0.13,-7.1,0.03,12.92,0.83,1.9,1.2,0,5,N,Meridional
32,2017-01-11,32,2017-01-11,2017-01-11 04:00:00,R,0.2,-35.17,0.19,-6.72,0.05,18.59,1.9,2.23,2.08,0.2,5,N,Meridional
33,2017-01-11,33,2017-01-11 04:00:00,2017-01-11 08:00:00,R,0.3,-32.14,0.13,-5.88,0.03,14.9,2.23,2.48,2.3,0.4,5,N,Meridional
34,2017-01-11,34,2017-01-11 08:00:00,2017-01-11 12:00:00,R,0.2,-22.75,0.1,-4.22,0.05,11.01,2.48,3.9,2.9,0.2,5,N,Meridional
